Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.917943    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.17] for pod "acmeair-flightservice-76d48bfb54-prl6z_default(76c14004-c72f-4235-ab19-980e98ee34af)" after sandbox changed
Jun 03 15:03:59 ip-172-31-21-16 kubelet[4419]: I0603 15:03:59.000399    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-qlgbq" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:59 ip-172-31-21-16 kubelet[4419]: I0603 15:03:59.189344    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-prl6z" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:59 ip-172-31-21-16 kubelet[4419]: I0603 15:03:59.205542    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-8bpxm" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:59 ip-172-31-21-16 kubelet[4419]: I0603 15:03:59.217211    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-gs6xh" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:57 ip-172-31-21-224 kubelet[4433]: I0603 15:03:57.595265    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7hgjh_default(6cc2c03d-9b75-492a-922b-707a87aa957c)"
Jun 03 15:03:57 ip-172-31-21-224 kubelet[4433]: I0603 15:03:57.637250    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-m6k5j_default(0511c142-04dd-4469-9349-66111fb6e251)"
Jun 03 15:03:57 ip-172-31-21-224 kubelet[4433]: I0603 15:03:57.664229    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-vt7g7_default(fee0d369-f81e-48d5-a8fb-b75932eec610)"
Jun 03 15:03:58 ip-172-31-21-224 kubelet[4433]: I0603 15:03:58.423207    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7hgjh_default"
Jun 03 15:03:58 ip-172-31-21-224 kubelet[4433]: I0603 15:03:58.433595    4433 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-m6k5j_default"
Jun 03 15:03:58 ip-172-31-21-224 kubelet[4433]: I0603 15:03:58.548449    4433 kuberuntime_manager.go:782] Determined the ip [100.96.2.14] for pod "acmeair-flightservice-76d48bfb54-m6k5j_default(0511c142-04dd-4469-9349-66111fb6e251)" after sandbox changed
