Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.212150    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.141] for pod "acmeair-flightservice-76d48bfb54-xmnpm_default(235ecf67-962d-42fe-8554-057baa7b9b5f)" after sandbox changed
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.278137    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.142] for pod "acmeair-flightservice-76d48bfb54-n646m_default(dc99f040-198e-40eb-a5e8-d88b5d183625)" after sandbox changed
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.318231    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7tlh8" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.571913    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-n646m" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.576132    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xmnpm" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:14 ip-172-31-29-81 kubelet[4634]: I0603 14:19:14.816103    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-9l2th_default(c89a690c-9b11-4115-be02-8338a295a751)"
Jun 03 14:19:14 ip-172-31-29-81 kubelet[4634]: I0603 14:19:14.886026    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-s2k6s_default(98da67cd-a649-4b72-b082-df12bac3755c)"
Jun 03 14:19:14 ip-172-31-29-81 kubelet[4634]: I0603 14:19:14.933597    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-l24hw_default(bd41730c-1b8e-4e52-83a1-10c34059c357)"
Jun 03 14:19:15 ip-172-31-29-81 kubelet[4634]: I0603 14:19:15.700348    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-9l2th_default"
Jun 03 14:19:15 ip-172-31-29-81 kubelet[4634]: I0603 14:19:15.749338    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-s2k6s_default"
Jun 03 14:19:15 ip-172-31-29-81 kubelet[4634]: I0603 14:19:15.773121    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-l24hw_default"
